painter,painterLabel,date_of_birth,image,place_of_birth,place_of_birthLabel,movement,movementLabel,coordinate_location
http://www.wikidata.org/entity/Q433434,Anne-Louis Girodet de Roussy-Trioson,1767-01-29T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Autoportrait%20-%20Anne-Louis%20Girodet%20-%20MM%201938F431.jpg,http://www.wikidata.org/entity/Q212352,Montargis,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(2.7325 47.996944444)
http://www.wikidata.org/entity/Q3309277,Michel Ciry,1919-08-31T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Ciry%20on%20his%2090th%20birthday.jpg,http://www.wikidata.org/entity/Q213481,La Baule-Escoublac,http://www.wikidata.org/entity/Q9730,classical music,Point(-2.392222222 47.285833333)
http://www.wikidata.org/entity/Q8078273,Émile Desportes,1878-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Emile%20Desportes.jpg,http://www.wikidata.org/entity/Q221517,Pont-l'Évêque,http://www.wikidata.org/entity/Q9730,classical music,Point(0.183888888 49.285555555)
http://www.wikidata.org/entity/Q463270,Constance Mayer,1774-03-09T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Fran%C3%A7oise%20Constance%20Mayer-Lamartini%C3%A8re.jpg,http://www.wikidata.org/entity/Q269833,Chauny,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(3.219166666 49.615555555)
http://www.wikidata.org/entity/Q2703817,Guillaume Guillon-Lethière,1760-01-10T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Guillaume%20Guillon%20Lethi%C3%A8re%20by%20Julien-L%C3%A9opold%20Boilly.jpg,http://www.wikidata.org/entity/Q386243,Sainte-Anne,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(-61.386111111 16.225555555)
http://www.wikidata.org/entity/Q2703817,Guillaume Guillon-Lethière,1760-01-16T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Guillaume%20Guillon%20Lethi%C3%A8re%20by%20Julien-L%C3%A9opold%20Boilly.jpg,http://www.wikidata.org/entity/Q386243,Sainte-Anne,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(-61.386111111 16.225555555)
http://www.wikidata.org/entity/Q273552,Marie Bracquemond,1840-12-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Bracquemond%20Under%20the%20Lamp.jpg,http://www.wikidata.org/entity/Q494957,Landunvez,http://www.wikidata.org/entity/Q11034,printing,Point(-4.726944444 48.5325)
http://www.wikidata.org/entity/Q273552,Marie Bracquemond,1840-12-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Bracquemond%202.jpg,http://www.wikidata.org/entity/Q494957,Landunvez,http://www.wikidata.org/entity/Q11034,printing,Point(-4.726944444 48.5325)
http://www.wikidata.org/entity/Q273552,Marie Bracquemond,1840-12-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Bracquemond%20by%20Marie%20Bracquemond.jpg,http://www.wikidata.org/entity/Q494957,Landunvez,http://www.wikidata.org/entity/Q11034,printing,Point(-4.726944444 48.5325)
http://www.wikidata.org/entity/Q3170050,Jean-Thomas Thibault,1757-11-20T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Thomas%20Thibault.jpg,http://www.wikidata.org/entity/Q923678,Montier-en-Der,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(4.77 48.477777777)
http://www.wikidata.org/entity/Q15967898,Adélaïde Binart,1769-03-09T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Adelaide-Binart-par-Marie-Genevieve-Bouliard.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q98686842,Antoinette Béfort,1788-08-08T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Antoinette%20B%C3%A9fort%20-%20A%20Young%20Woman%20from%20Thebes%20Tending%20Her%20Wounded%20Father.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q19944954,Jean Louis Bezard,1799-11-25T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Eglise%20Notre-Dame%20du%20Taur%20-%20Le%20martyre%20de%20Saint%20Saturnin%20par%20Jean-Louis%20B%C3%89ZARD.jpg,http://www.wikidata.org/entity/Q7880,Toulouse,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(1.443888888 43.604444444)
http://www.wikidata.org/entity/Q4274792,Constant Mayer,1829-10-03T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Constant%20Mayer%20photo%20portrait.png,http://www.wikidata.org/entity/Q37776,Besançon,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(6.021388888 47.242222222)
http://www.wikidata.org/entity/Q7029461,Nicolas-Didier Boguet,1755-02-18T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas-Didier%20Boguet%20%281755-1839%29.jpg,http://www.wikidata.org/entity/Q126675,Chantilly,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(2.460833333 49.186944444)
http://www.wikidata.org/entity/Q16855463,Auguste Pichon,1805-12-06T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Auguste%20Pichon%201875.jpg,http://www.wikidata.org/entity/Q588787,Sorèze,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(2.066944444 43.452777777)
http://www.wikidata.org/entity/Q59396969,Germaine de Roton,1889-03-25T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Germaine%20de%20Roton.png,http://www.wikidata.org/entity/Q740693,Beaujeu,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(4.588333333 46.154166666)
http://www.wikidata.org/entity/Q24188412,Auguste Morisot,1857-04-12T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Morisot-portrait.jpg,http://www.wikidata.org/entity/Q16896,Seurre,http://www.wikidata.org/entity/Q34636,Art Nouveau,Point(5.146666666 46.998611111)
http://www.wikidata.org/entity/Q1921617,Georges de Feure,1868-09-06T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/G%20de%20feure%20portrait%20photo.png,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q34636,Art Nouveau,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q23035246,Paul Philippe,1870-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Philippe%20-%20chryselephantine%20pierrette%20statue%2C%20c.%201922.png,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q34636,Art Nouveau,Point(2.0 47.0)
http://www.wikidata.org/entity/Q123740,Félix Vallotton,1865-12-28T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Vallotton-Autoportrait.jpg,http://www.wikidata.org/entity/Q807,Lausanne,http://www.wikidata.org/entity/Q34636,Art Nouveau,Point(6.633333333 46.533333333)
http://www.wikidata.org/entity/Q524154,Eugène Grasset,1845-05-25T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Grasset%20-%20Album%20Mariani%20-%20portrait.jpg,http://www.wikidata.org/entity/Q807,Lausanne,http://www.wikidata.org/entity/Q34636,Art Nouveau,Point(6.633333333 46.533333333)
http://www.wikidata.org/entity/Q706041,Théophile Steinlen,1859-11-10T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/SteinlenGat.jpg,http://www.wikidata.org/entity/Q807,Lausanne,http://www.wikidata.org/entity/Q34636,Art Nouveau,Point(6.633333333 46.533333333)
http://www.wikidata.org/entity/Q706041,Théophile Steinlen,1859-11-20T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/SteinlenGat.jpg,http://www.wikidata.org/entity/Q807,Lausanne,http://www.wikidata.org/entity/Q34636,Art Nouveau,Point(6.633333333 46.533333333)
http://www.wikidata.org/entity/Q29488625,Cyril Kongo,1969-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Cyril%20Kongo%20%282014%29.jpg,http://www.wikidata.org/entity/Q7880,Toulouse,http://www.wikidata.org/entity/Q17516,street art,Point(1.443888888 43.604444444)
http://www.wikidata.org/entity/Q2537308,Louis Majorelle,1859-09-26T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Majorelle.png,http://www.wikidata.org/entity/Q154728,Toul,http://www.wikidata.org/entity/Q34636,Art Nouveau,Point(5.891666667 48.675)
http://www.wikidata.org/entity/Q93777751,Jisbar,1989-06-07T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Jisbar-artist-2023.jpg,http://www.wikidata.org/entity/Q207589,Val-d'Isère,http://www.wikidata.org/entity/Q17516,street art,Point(6.977222222 45.449722222)
http://www.wikidata.org/entity/Q13368668,Maurice Biais,1872-12-30T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Maurice%20Biais-Poster%20for%20Saharet%20%28without%20location%29%2C%20c%201902.jpg,http://www.wikidata.org/entity/Q208812,Corbeil-Essonnes,http://www.wikidata.org/entity/Q34636,Art Nouveau,Point(2.474722222 48.610277777)
http://www.wikidata.org/entity/Q12955922,eL Seed,1981-08-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/EL%20Seed%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q237281,Le Chesnay,http://www.wikidata.org/entity/Q17516,street art,Point(2.130277777 48.820277777)
